"year","carrier_name","arrivals","delayed","cancelled","diverted","car_delays","av_delay","av_car_delay","on_time","percent_car_delays"
2003,"American Airlines Inc.",434707,81756,6420,1052,20006.28,53.755036602343,15.1191736822685,0.81192849436517,0.0460224473035861
2003,"American Eagle Airlines Inc.",252913,49259,7329,312,12078.89,51.595747679977,13.8103768187787,0.80523342018797,0.0477590713011984
2003,"Delta Air Lines Inc.",332400,61507,2909,557,14084.66,44.0698479470869,11.8858882322463,0.814960890493381,0.042372623345367
2003,"SkyWest Airlines Inc.",240401,26497,3628,266,14087,46.8308551375825,21.8111230300712,0.889779992595705,0.0585979259653662
2003,"Southwest Airlines Co.",562675,73653,5250,1045,16625.82,44.6687424480366,8.96533017037041,0.869102057137779,0.0295478206780113
2003,"United Air Lines Inc.",320081,55572,2980,558,11399.26,55.2719580965275,11.4858840932021,0.826381447196178,0.0356136727890753
2004,"American Airlines Inc.",698548,148150,12402,1644,32549.49,58.554322563399,14.2568970073312,0.787917222581698,0.0465959246894988
2004,"American Eagle Airlines Inc.",483088,111025,17787,844,26680.12,54.0002300752166,13.6970280901815,0.770176448183354,0.0552282813897261
2004,"Delta Air Lines Inc.",687638,151942,10717,1197,34104.4,46.4271761658516,12.2498596678612,0.779037807683694,0.0495964446409303
2004,"SkyWest Airlines Inc.",463448,69597,9784,798,35773,46.6618856155647,20.5474595670696,0.849827812397507,0.0771888108266731
2004,"Southwest Airlines Co.",990404,185595,10103,1781,41166.16,44.1932755832523,8.66249879217544,0.812606774609149,0.0415650179118824
2004,"United Air Lines Inc.",555812,105032,6548,1000,23466.84,55.9026101588975,12.2813882546479,0.811029628723381,0.0422208228681641
2005,"American Airlines Inc.",614614,129941,8608,1462,31271.34,55.0433628692767,14.4773893478655,0.788581125714676,0.0508796415311073
2005,"American Eagle Airlines Inc.",532032,108852,16746,951,27442.8,52.7477226119078,14.0620129484889,0.795403284012992,0.051581107903284
2005,"Delta Air Lines Inc.",658302,137098,17731,1282,31153.53,50.6245625971203,13.5458235763708,0.79173996129436,0.0473240701076406
2005,"SkyWest Airlines Inc.",430090,67377,8446,678,39594,47.4368514328567,23.7324233369232,0.843342091190216,0.0920598014369085
2005,"Southwest Airlines Co.",1036034,189099,8759,1638,43886.9,43.2880561078973,8.97774447527282,0.817477997826326,0.0423604823779915
2005,"United Air Lines Inc.",485918,101429,6296,878,28196.93,56.5876022112096,15.2475963384878,0.791263134932231,0.058028165245988
2006,"American Airlines Inc.",643597,145563,10127,1701,34905.6,58.8285566464512,14.8482899990006,0.773828964398529,0.0542351813324176
2006,"American Eagle Airlines Inc.",550088,135620,19990,1297,33044.24,56.0416169470863,13.5430315794258,0.753457628597606,0.0600708250316313
2006,"Delta Air Lines Inc.",424119,85919,6219,966,22004.89,48.8847483521266,14.4480243259639,0.797417705879718,0.0518837637549839
2006,"SkyWest Airlines Inc.",548109,113760,12844,640,61937,52.6567347354696,22.6755665416356,0.792450041871234,0.113001246102509
2006,"Southwest Airlines Co.",1099321,206597,8951,1753,49677.35,45.7834491115433,9.63037269098471,0.812068540489993,0.0451891212848658
2006,"United Air Lines Inc.",500008,119391,10238,1088,28141.8,60.3242435809374,13.7949880291888,0.761221820450873,0.0562826994768084
2007,"American Airlines Inc.",633857,178129,17924,2097,42232.73,60.460343344749,15.253100002941,0.718976046647746,0.0666281669209301
2007,"American Eagle Airlines Inc.",540494,142567,22792,1497,33599.6,58.9835931740842,14.038601729639,0.73622833926001,0.0621646123731253
2007,"Delta Air Lines Inc.",475889,102404,6521,1045,26331.65,48.9598912408073,14.6374290585945,0.7848153666086,0.0553314953697186
2007,"SkyWest Airlines Inc.",597880,130405,14186,823,66561,52.289872188557,20.6917881823391,0.781887669766508,0.111328360206061
2007,"Southwest Airlines Co.",1168871,220441,9993,1920,51565.76,46.7558840668306,9.49107382268815,0.811406904611373,0.0441158690736617
2007,"United Air Lines Inc.",490002,132461,11929,983,29717.85,60.0905495590806,13.7026943455564,0.729672531948849,0.0606484259247922
2008,"American Airlines Inc.",498449,132616,15113,1610,36228.28,58.0097390064175,17.8721799797869,0.733942690225078,0.0726820196248764
2008,"American Eagle Airlines Inc.",408602,95971,16171,1002,23772.85,57.9476056227309,15.1883806757351,0.765123518729717,0.0581809438035056
2008,"Delta Air Lines Inc.",415627,93661,6395,1132,22434.38,51.6043784987294,14.2151119703011,0.774651309948584,0.0539771958992077
2008,"SkyWest Airlines Inc.",237003,41438,3839,555,10802.98,55.9887309223336,14.5503913718323,0.825158331329139,0.0455816171103319
2008,"Southwest Airlines Co.",1201754,219757,12389,2454,50926,49.2583129326498,10.3500854422927,0.817136452219007,0.0423763931719803
2008,"United Air Lines Inc.",449515,116072,10541,995,27921.53,61.1611660601908,14.9835245146273,0.741783922672213,0.0621147903851929
2009,"American Airlines Inc.",551597,114591,9248,1861,36448.57,58.6079453423621,20.2522978408183,0.792255940478284,0.0660782600340466
2009,"American Eagle Airlines Inc.",437009,87366,11119,1081,23118.51,54.798006115949,15.5622332004591,0.800081920509646,0.0529016793704477
2009,"Delta Air Lines Inc.",393319,80037,4589,951,17706.84,50.4324583509184,13.5770362496713,0.796508686333485,0.045019030354496
2009,"SkyWest Airlines Inc.",365445,59033,5182,858,11702.01,54.640196656202,10.9843178598946,0.83846269616495,0.0320212617493741
2009,"Southwest Airlines Co.",1132278,181988,8594,1936,50964.86,46.4578331898266,11.8065284243818,0.839272687449549,0.0450109072153658
2009,"United Air Lines Inc.",311714,52847,5266,617,12448.8,58.8275413172509,15.4255804711931,0.830463180992833,0.0399366085578447
2010,"American Airlines Inc.",540963,99108,9146,1957,32370.28,55.7233747205919,20.1624872194161,0.816793385129852,0.0598382514146069
2010,"American Eagle Airlines Inc.",436976,87136,12075,1073,23426.68,54.3469762335614,15.9856399917884,0.800593167588151,0.053610907692871
2010,"Delta Air Lines Inc.",668957,131764,13684,1405,42145.5,54.2249130408721,19.2270084782961,0.803030688071132,0.0630018072910516
