"year","carrier_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted","arr_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","avg_arr_del15","avg_carrier_ct","avg_arr_cancelled","avg_arr_delay","avg_carrier_delay","avg_ontime"
2003,"American Airlines Inc.",434707,81756,20006.28,5249.66,38719.99,242.52,17537.37,6420,1052,4468760,1230662,363431,1735041,8604,1131022,18.807150563483,4.60224473035861,1.47685682540194,10.2799356808149,2.83101491349346,81.192849436517
2004,"American Airlines Inc.",698548,148150,32549.49,10859.47,64842.09,452.46,39446.7,12402,1644,8787404,2101534,779736,3110021,21305,2774808,21.2082777418302,4.65959246894988,1.77539696627862,12.5795278205649,3.00843177562601,78.7917222581698
2005,"American Airlines Inc.",673569,144389,34581.76,9411.4,59101.39,227.44,41066.96,9752,1717,8122968,2086897,593395,2723931,9103,2709642,21.4364081482372,5.13410801269061,1.44781009814882,12.0595930038348,3.09826758654273,78.5635918517628
2006,"American Airlines Inc.",643597,145563,34905.6,7451.32,57801.72,454.71,44949.95,10127,1701,8573216,2169731,496936,2822911,19379,3064259,22.6171035601471,5.42351813324176,1.57350018722896,13.3207830365897,3.37125716869407,77.3828964398529
2007,"American Airlines Inc.",633857,178129,42232.73,11083.67,66665.57,192.6,57954.34,17924,2097,10869722,2700300,811124,3275624,7775,4074899,28.1023953352255,6.66281669209301,2.82776714621752,17.1485398126076,4.2601091413363,71.8976046647745
2008,"American Airlines Inc.",604885,163024,44551.91,5648.86,63422.15,129.99,49270.99,17440,1960,9569077,2821907,418677,2987319,6626,3334548,26.9512386652008,7.36535209171991,2.88319267298743,15.8196632417732,4.66519586367657,73.0487613347992
2009,"American Airlines Inc.",551597,114591,36448.57,5926.67,39952.62,77.25,32185.66,9248,1861,6796315,2283295,432667,1884383,3531,2192439,20.7744059521716,6.60782600340466,1.67658634836665,12.3211601948524,4.1394260664942,79.2255940478284
2010,"American Airlines Inc.",540963,99108,32370.28,5325.76,34322.69,122.74,26966.74,9146,1957,5565988,1993052,358453,1502617,5964,1705902,18.3206614870148,5.98382514146069,1.69068864229162,10.2890364035988,3.6842667613127,81.6793385129852
2011,"American Airlines Inc.",538179,103978,35335.76,5362.15,34542.02,52.27,28685.74,13527,2024,5920542,2133621,401882,1508508,2337,1874194,19.3203376571735,6.56580059794232,2.51347599962094,11.0010647015212,3.96451923988115,80.6796623428265
2012,"American Airlines Inc.",525220,109752,35588.89,4408.44,35806.92,114.96,33832.79,9569,1777,6203856,2140405,343832,1419535,4362,2295722,20.8963862762271,6.77599672518183,1.82190320246754,11.8119188149728,4.0752541792011,79.1036137237729
2013,"American Airlines Inc.",537891,108865,31305.32,4643.56,32433.61,87.32,40395.45,9749,1786,6355728,1927664,341701,1406221,6384,2673758,20.239230624792,5.82001186113915,1.81244899059475,11.8160147687914,3.5837446620226,79.760769375208
2014,"American Airlines Inc.",537697,119751,34264.01,4793.77,38059.47,97.56,42536.09,8457,1957,7131277,2196265,408197,1632082,4225,2890508,22.2710931993297,6.37236398938436,1.57281889242454,13.2626311844775,4.08457737350218,77.7289068006703
2015,"American Airlines Inc.",83894,17454,5460.37,876.24,5637.28,27.3,5452.71,3454,186,1057162,370141,76083,224520,1147,385271,20.8048251364817,6.50865377738575,4.11710015018952,12.6011633728276,4.41200801010799,79.1951748635182
2003,"Delta Air Lines Inc.",386319,68346,15556.55,1375.51,38666.62,62.28,12684.88,3474,626,3036886,816871,93238,1406169,3848,716760,17.6915968409527,4.0268663979768,0.899256831789273,7.86108371578928,2.1144986397252,82.3084031590473
2004,"Delta Air Lines Inc.",687638,151942,34104.4,2963.63,79048.93,155.17,35669.89,10717,1197,7160415,1873049,215293,3047433,8486,2016154,22.0962192316306,4.95964446409303,1.55852352545962,10.4130589059941,2.72388815045126,77.9037807683694
2005,"Delta Air Lines Inc.",658302,137098,31153.53,2459,66751.39,87.25,36646.77,17731,1282,7146602,1871056,179922,2859431,5791,2230402,20.826003870564,4.73240701076406,2.69344465002385,10.8561146707742,2.84224565624896,79.173996129436
2006,"Delta Air Lines Inc.",506086,111152,27395.81,2121.12,50469.53,170.97,30994.71,7695,1112,5466946,1560855,145371,1995875,12549,1752296,21.9630655659315,5.41327165738629,1.52049256450485,10.8024051248207,3.08416948898013,78.0369344340685
2007,"Delta Air Lines Inc.",475889,102404,26331.65,1939.49,46540.03,86.66,27506.3,6521,1045,5176517,1530087,152501,1866371,6735,1620823,21.51846333914,5.53314953697186,1.37027752269962,10.8775722910174,3.21521825467704,78.48153666086
2008,"Delta Air Lines Inc.",451931,98840,23618.75,1972.79,46838.63,25.22,26384.6,6813,1184,5125061,1411220,167124,1945194,1365,1600158,21.870595289989,5.22618497071456,1.50753101690302,11.3403616923822,3.12264482852471,78.129404710011
2009,"Delta Air Lines Inc.",428007,85948,19077.7,1938.43,43072.84,33.71,21825.17,4790,1027,4408308,1190233,154579,1786806,1310,1275380,20.0809799839722,4.4573336417395,1.11914057480368,10.2996165950557,2.78087274273552,79.9190200160278
2010,"Delta Air Lines Inc.",732973,149425,48296.56,4292.13,56023.49,81.41,40731.6,14857,1621,8195204,2910046,380885,2317622,3371,2583280,20.3861533780917,6.58913220541548,2.02695051523044,11.1807720066087,3.97019535508129,79.6138466219083
2011,"Delta Air Lines Inc.",732331,118041,35164.67,3467.85,45472.92,32.26,33903.62,10188,1433,6379583,2188241,300469,1827410,2316,2061147,16.1185311013736,4.80174538562481,1.39117420947632,8.71133817904745,2.9880491198652,83.8814688986264
2012,"Delta Air Lines Inc.",726879,92829,28609.38,2215.31,34779.01,34.97,27190.43,3713,1260,5136802,1965386,178807,1361153,2025,1629431,12.7709013467166,3.93592055899262,0.510814041951962,7.06692860847541,2.70386955738163,87.2290986532834
2013,"Delta Air Lines Inc.",754670,113157,37631.64,3452.05,41530.71,75.49,30466.99,2435,1343,6634527,2691572,333994,1749949,7816,1851196,14.9942358911842,4.98650270979368,0.322657585434693,8.79129553314694,3.56655491804365,85.0057641088158
2014,"Delta Air Lines Inc.",800375,122489,39443.06,5447.77,44184.9,41.54,33371.86,6502,1373,6965629,2694134,498602,1833423,3556,1935914,15.3039512728409,4.92807246603155,0.812369201936592,8.70295673902858,3.36608964547868,84.6960487271591
2015,"Delta Air Lines Inc.",125305,19772,6389.63,1444.21,6604.26,7.04,5326.94,2374,185,1210401,432477,145778,289072,746,342328,15.7790989984438,5.09926180120506,1.89457723155501,9.65963848210367,3.45139459718287,84.2209010015562
2003,"ExpressJet Airlines Inc.",199362,38642,5615.2,1384.82,22289.02,103.35,9249.72,3625,614,1929662,308819,114432,984542,2866,519003,19.3828312316289,2.81658490584966,1.81830037820648,9.67918660527081,1.54903642619958,80.6171687683711
2004,"ExpressJet Airlines Inc.",367703,77652,11494.07,2417.23,43118.2,257.57,20365.35,6103,1031,4156258,680607,217272,1987599,8687,1262093,21.118130665238,3.12591140132117,1.65976345039339,11.3033018495906,1.85096939649663,78.881869334762
2005,"ExpressJet Airlines Inc.",403767,88656,13930.07,2715.31,44835.05,311.71,26863.87,9353,1137,4912083,807042,240469,2182174,10403,1671995,21.9572179004228,3.45002687193357,2.31643497363578,12.1656376078283,1.9987814754549,78.0427820995772
2006,"ExpressJet Airlines Inc.",441470,106286,18263,4293.75,47914.79,779.84,35034.29,9716,1956,6414521,1104644,361784,2566776,31415,2349902,24.075475117222,4.13686094185335,2.20082904840646,14.52991369742,2.5021949396335,75.924524882778
2007,"ExpressJet Airlines Inc.",434773,101558,20238.06,3376.95,41256.04,344.52,36342.74,10800,1668,6562382,1266355,284451,2453029,11498,2547049,23.3588562307227,4.65485667233246,2.48405489761324,15.093812173249,2.91268087024723,76.6411437692773
2008,"ExpressJet Airlines Inc.",374510,87883,19397.58,2753.65,36188.44,408.93,29134.73,9992,1104,5516150,1218009,247486,2074904,13173,1962578,23.4661290753251,5.17945582227444,2.6680195455395,14.7289791994873,3.25227363755307,76.5338709246749
2009,"ExpressJet Airlines Inc.",310717,59558,11554.94,2027.54,29829.38,199.3,15946.96,5489,1072,3707790,695052,187183,1700616,6091,1118848,19.1679245100847,3.71879877830952,1.76655928063157,11.9330129989669,2.23692942452457,80.8320754899153
2010,"ExpressJet Airlines Inc.",385077,76419,17615.97,1923.69,30524.96,361.55,25992.96,8114,1072,4320595,1046190,150767,1442939,12001,1668698,19.845121884714,4.57466169103842,2.1071110453234,11.2200806591928,2.71683325672528,80.154878115286
2011,"ExpressJet Airlines Inc.",413286,89303,24633.01,1469.4,28414.08,164.04,34623.18,14117,1265,5642966,1747864,151793,1412607,6345,2324357,21.6080389851096,5.96028174194142,3.41579438935749,13.6539006886272,4.22918753599202,78.3919610148904
2012,"ExpressJet Airlines Inc.",740855,154116,46406.23,4209.64,36916.7,95.92,66487.46,15272,1833,10234754,3441656,375026,1872886,5186,4540000,20.802451221899,6.2638748473048,2.06140202873707,13.81478696911,4.64551902868982,79.197548778101
2013,"ExpressJet Airlines Inc.",748696,180484,47014.24,3229.69,52242.06,91.33,77906.64,21307,2201,11855385,3366064,312367,2859779,5278,5311897,24.106446408155,6.27948326156411,2.84588137241284,15.834711284687,4.49590220864009,75.893553591845
2014,"ExpressJet Airlines Inc.",686021,164412,45005.2,2534.57,49688.3,55.24,67128.59,34128,2128,10822734,3335616,276162,2680248,2833,4527875,23.966030194411,6.56032395509758,4.97477482467738,15.7760972331751,4.86226514931759,76.033969805589
2015,"ExpressJet Airlines Inc.",95063,21533,5907.47,449.98,7436.13,0,7739.52,4704,270,1293786,437836,41273,318334,0,496343,22.6512944047632,6.21426843251318,4.94829744485236,13.609774570548,4.60574566340216,77.3487055952369
2003,"SkyWest Airlines Inc.",240401,26497,14087,2841,4909,323,4337,3628,266,1295086,577720,204194,302043,13530,197599,11.0220007404295,5.85979259653662,1.50914513666748,5.38719056909081,2.40315140120049,88.9779992595705
2004,"SkyWest Airlines Inc.",463448,69597,35773,5323,14015,485,14001,9784,798,3308163,1434313,348327,852465,16002,657056,15.0172187602493,7.71888108266731,2.11113220900727,7.13815357925808,3.09487364278193,84.9827812397507
2005,"SkyWest Airlines Inc.",517454,80313,47568,4269,13612,297,14567,9639,817,3897574,1925288,291522,899679,9855,771230,15.5207999165143,9.19270118696541,1.86277427558778,7.53221349144079,3.7206940133809,84.4792000834857
2006,"SkyWest Airlines Inc.",548109,113760,61937,3641,13370,549,34263,12844,640,6059436,2582623,261889,1163852,17860,2033212,20.7549958128766,11.3001246102509,2.34332952022317,11.0551660344931,4.71187847672634,79.2450041871234
2007,"SkyWest Airlines Inc.",597880,130405,66561,4521,12901,597,45825,14186,823,6913905,2730247,356372,1197780,19948,2609558,21.8112330233492,11.1328360206061,2.37271693316385,11.5640345888807,4.5665467986887,78.1887669766508
2008,"SkyWest Airlines Inc.",567157,105245,31848.77,3519.39,29755.46,333.68,39787.79,12434,1311,6182502,1678216,306304,1829877,12287,2355818,18.5565901505227,5.61551210687693,2.19233827670292,10.9008651925305,2.95899724414933,81.4434098494773
2009,"SkyWest Airlines Inc.",547572,88827,17698.92,1420.86,29876.69,150.43,39680.58,7780,1345,4836475,992380,113241,1379022,5769,2346063,16.2219762880498,3.23225438846398,1.42081771894838,8.83258274710906,1.8123278765167,83.7780237119502
2010,"SkyWest Airlines Inc.",599620,111931,23702.65,2004.03,33953.29,203.53,52067.68,11932,1748,6211607,1389117,150120,1544218,7254,3120898,18.6669890930923,3.9529451986258,1.98992695373737,10.3592391848171,2.31666221940562,81.3330109069077
2011,"SkyWest Airlines Inc.",587372,107213,23279.75,1735.13,31742.47,182.74,50272.9,12688,1442,5843981,1348192,139645,1400901,6274,2948969,18.2529981000116,3.96337414789946,2.16013020709193,9.9493693945234,2.29529497490517,81.7470018999884
2012,"SkyWest Airlines Inc.",617756,101231,23360.64,1492.13,28423.8,116.15,47838.53,11167,1235,5581930,1360820,109605,1277785,4660,2829060,16.3868906170074,3.78153186695071,1.80767163734549,9.03581673023006,2.20284384125771,83.6131093829926
